Threshold (%),Accounts ≥ Threshold,XRP ≥ Threshold,date
0.01%,662,"5,730,534.747576 XRP",2025-07-04
0.10%,6623,"369,150.999559 XRP",2025-07-04
0.20%,13245,"200,086.954537 XRP",2025-07-04
0.50%,33114,"100,000.001026 XRP",2025-07-04
1%,66227,"50,626.750974 XRP",2025-07-04
2%,132455,"25,633.998138 XRP",2025-07-04
3%,198682,"16,287.588951 XRP",2025-07-04
4%,264910,"11,029.834165 XRP",2025-07-04
5%,331137,"8,752.497377 XRP",2025-07-04
10%,662274,"2,484.043344 XRP",2025-07-04
0.01%,663,"5,745,177.782106 XRP",2025-07-05
0.10%,6630,"369,350.816212 XRP",2025-07-05
0.20%,13259,"200,100.000004 XRP",2025-07-05
0.50%,33148,"100,000.001032 XRP",2025-07-05
1%,66295,"50,631.213275 XRP",2025-07-05
2%,132590,"25,640.230348 XRP",2025-07-05
3%,198885,"16,298.235648 XRP",2025-07-05
4%,265180,"11,033.748995 XRP",2025-07-05
5%,331475,"8,757.915442 XRP",2025-07-05
10%,662951,"2,486.527019 XRP",2025-07-05
0.01 %,663,"5,730,534.747576 XRP",2025-07-06
0.1 %,6633,"369,080.778988 XRP",2025-07-06
0.2 %,13266,"200,099.998005 XRP",2025-07-06
0.5 %,33165,"100,000.001063 XRP",2025-07-06
1 %,66330,"50,637.371875 XRP",2025-07-06
2 %,132660,"25,639.621144 XRP",2025-07-06
3 %,198990,"16,299.000006 XRP",2025-07-06
4 %,265321,"11,033.838868 XRP",2025-07-06
5 %,331651,"8,758.593013 XRP",2025-07-06
10 %,663301,"2,486.744109 XRP",2025-07-06
0.01 %,664,"5,653,598.790150 XRP",2025-07-08
0.1 %,6641,"369,080.778988 XRP",2025-07-08
0.2 %,13283,"200,090.001076 XRP",2025-07-08
0.5 %,33207,"100,000.000971 XRP",2025-07-08
1 %,66414,"50,615.712160 XRP",2025-07-08
2 %,132829,"25,617.818631 XRP",2025-07-08
3 %,199243,"16,287.588951 XRP",2025-07-08
4 %,265657,"11,029.411770 XRP",2025-07-08
5 %,332072,"8,752.112869 XRP",2025-07-08
10 %,664143,"2,486.168903 XRP",2025-07-08
0.01 %,664,"5,750,000.000010 XRP",2025-07-09
0.1 %,6645,"369,602.176682 XRP",2025-07-09
0.2 %,13290,"200,087.000005 XRP",2025-07-09
0.5 %,33224,"100,000.000922 XRP",2025-07-09
1 %,66448,"50,606.575005 XRP",2025-07-09
2 %,132897,"25,614.647861 XRP",2025-07-09
3 %,199345,"16,282.785317 XRP",2025-07-09
4 %,265794,"11,029.007667 XRP",2025-07-09
5 %,332242,"8,752.616343 XRP",2025-07-09
10 %,664484,"2,487.276139 XRP",2025-07-09
0.01 %,666,"5,730,534.747579 XRP",2025-07-12
0.1 %,6663,"367,089.097551 XRP",2025-07-12
0.2 %,13327,"200,038.065860 XRP",2025-07-12
0.5 %,33317,"100,000.000007 XRP",2025-07-12
1 %,66634,"50,527.911694 XRP",2025-07-12
2 %,133268,"25,545.999989 XRP",2025-07-12
3 %,199901,"16,233.294983 XRP",2025-07-12
4 %,266535,"11,012.014003 XRP",2025-07-12
5 %,333169,"8,723.709822 XRP",2025-07-12
10 %,666338,"2,482.564083 XRP",2025-07-12
0.01 %,667,"5,655,037.418759 XRP",2025-07-14
0.1 %,6675,"365,531.015618 XRP",2025-07-14
0.2 %,13350,"200,040.271775 XRP",2025-07-14
0.5 %,33374,"100,000.000007 XRP",2025-07-14
1 %,66748,"50,500.992884 XRP",2025-07-14
2 %,133495,"25,525.023653 XRP",2025-07-14
3 %,200243,"16,222.959336 XRP",2025-07-14
4 %,266991,"11,010.467634 XRP",2025-07-14
5 %,333738,"8,720.419566 XRP",2025-07-14
10 %,667477,"2,484.963831 XRP",2025-07-14
0.01 %,669,"5,800,016.345141 XRP",2025-07-16
0.1 %,6689,"365,865.330396 XRP",2025-07-16
0.2 %,13379,"200,018.000004 XRP",2025-07-16
0.5 %,33447,"99,999.799948 XRP",2025-07-16
1 %,66895,"50,400.723129 XRP",2025-07-16
2 %,133789,"25,458.147240 XRP",2025-07-16
3 %,200684,"16,171.313004 XRP",2025-07-16
4 %,267578,"11,002.896896 XRP",2025-07-16
5 %,334473,"8,695.960286 XRP",2025-07-16
10 %,668945,"2,480.684531 XRP",2025-07-16
0.01 %,670,"5,789,554.969848 XRP",2025-07-17
0.1 %,6697,"364,708.113744 XRP",2025-07-17
0.2 %,13393,"200,018.994833 XRP",2025-07-17
0.5 %,33483,"99,998.997003 XRP",2025-07-17
1 %,66965,"50,385.773383 XRP",2025-07-17
2 %,133930,"25,446.775306 XRP",2025-07-17
3 %,200896,"16,157.596077 XRP",2025-07-17
4 %,267861,"11,001.851302 XRP",2025-07-17
5 %,334826,"8,688.139817 XRP",2025-07-17
10 %,669652,"2,479.000012 XRP",2025-07-17
